fiscal_year,Query_Run_Date,Customer,Majorcommandid,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2007,59:26.2,Defense,ORG-2775,$250 thousand - <$1 million,$100 - <$500 million,$100 - <$500 million,1,2,260001,2
2010,59:26.2,Defense,ORG-2940,Zero value,$250 thousand - <$1 million,$1 - <$5 million,1,1,0,1
2013,59:26.2,Defense,ORG-2880,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,4,22,48006367.75,22
2003,59:26.2,Defense,NULL,Zero value,NULL,$1 - <$5 million,248,252,0,NULL
2009,59:26.2,Defense,ORG-2838,Zero value,NULL,$250 thousand - <$1 million,16,24,0,NULL
2010,59:26.2,Defense,ORG-2874,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,1,6,492445.14,6
2011,59:26.2,Defense,ORG-2825,$100 - <$500 million,$100 - <$500 million,$25 - <$100 million,2,56,503322736.2,66
2012,59:26.2,Defense,ORG-2945,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,5,32,8044291.55,34
2013,59:26.2,Defense,ORG-2945,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,3,10,2402454,10
2014,59:26.2,Defense,ORG-2941,$100 - <$500 million,$100 - <$500 million,Deobligation,1,23,240702936,23
2003,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,1,296182,1
2006,59:26.2,Defense,ORG-2936,Greater than $500 million,Greater than $500 million,Zero value,1,26,569870768,26
2008,59:26.2,Defense,ORG-2842,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,1,5,526042,5
2003,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,1,1,476711,1
2006,59:26.2,Defense,ORG-2943,Zero value,$5 - <$25 million,$5 - <$25 million,1,1,0,1
2005,59:26.2,Defense,ORG-2944,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,2,6,6080804,6
2001,59:26.2,Defense,ORG-2834,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,1,4,91745792,4
2006,59:26.2,Defense,ORG-2875,$1 - <$5 million,Zero value,Zero value,150,648,279159720.5,3340
2011,59:26.2,Defense,ORG-2877,$1 - <$5 million,Zero value,Zero value,152,988,330257410.3,1000
2011,59:26.2,Defense,ORG-2942,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,14,63,26045739.3,66
2009,59:26.2,Defense,ORG-2880,Zero value,Deobligation,Deobligation,4,5,0,5
2009,59:26.2,Defense,ORG-2880,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,1,4,3582000,4
2008,59:26.2,Defense,ORG-2777,Zero value,NULL,$5 - <$25 million,14,14,0,NULL
2008,59:26.2,Defense,ORG-2945,Deobligation,Deobligation,Deobligation,93,131,-4198999.3,131
2008,59:26.2,Defense,ORG-2791,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,2,3,4297479.78,3
2007,59:26.2,Defense,ORG-2791,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,5,16,40664881.93,16
2008,59:26.2,Defense,ORG-2876,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,7,36,5591184.34,36
2005,59:26.2,Defense,ORG-2837,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,1,1,2384094,1
2013,59:26.2,Defense,ORG-2877,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,18,23452932.01,18
2012,59:26.2,Defense,ORG-2869,$5 - <$25 million,$5 - <$25 million,Deobligation,4,16,29526765.26,17
2008,59:26.2,Defense,ORG-2843,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,5,20,788229.51,20
2011,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$1 - <$5 million,Zero value,5,25,3060147.63,30
2004,59:26.2,Defense,ORG-2876,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,1,1,84262205,1
2014,59:26.2,Defense,ORG-4774,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,2,12,3069998.188,12
2013,59:26.2,Defense,ORG-2872,Zero value,Zero value,$1 - <$5 million,1,3,0,3
2012,59:26.2,Defense,ORG-2787,Zero value,NULL,$1 - <$5 million,167,206,0,NULL
2011,59:26.2,Defense,NULL,$100 - <$500 million,$100 - <$500 million,$25 - <$100 million,2,118,420674833.4,118
2011,59:26.2,Defense,ORG-2943,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,31,223,1463988788,223
2014,59:26.2,Defense,ORG-2877,$100 - <$500 million,Zero value,Zero value,2,55,250591099.1,55
2007,59:26.2,Defense,ORG-2945,Zero value,NULL,Less than $250 thousand,2,2,0,NULL
2014,59:26.2,Defense,ORG-2845,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,64,96,29253917.89,132
2004,59:26.2,Defense,ORG-2941,$25 - <$100 million,$25 - <$100 million,Deobligation,1,8,29782488,9
2006,59:26.2,Defense,ORG-2775,$1 - <$5 million,$100 - <$500 million,$100 - <$500 million,1,1,4560089,1
2013,59:26.2,Defense,ORG-2841,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,1,7,4453995,7
2008,59:26.2,Defense,ORG-2842,Less than $250 thousand,Less than $250 thousand,Zero value,8,12,334562,12
2007,59:26.2,Defense,ORG-2870,Zero value,NULL,$250 thousand - <$1 million,5,5,0,NULL
2011,59:26.2,Defense,ORG-2825,Zero value,Less than $250 thousand,$250 thousand - <$1 million,5,7,0,7
2001,59:26.2,Defense,ORG-2942,$1 - <$5 million,Zero value,Zero value,41,78,97314854,91
2012,59:26.2,Defense,ORG-2872,$250 thousand - <$1 million,$100 - <$500 million,$25 - <$100 million,1,3,442819.61,3
2008,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,1,11,542184.6,11
2012,59:26.2,Defense,ORG-3960,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,82,218,49509188.97,218
2008,59:26.2,Defense,ORG-2834,Zero value,$1 - <$5 million,$5 - <$25 million,3,3,0,4
2012,59:26.2,Defense,ORG-2936,Zero value,Zero value,$1 - <$5 million,1,3,0,3
2009,59:26.2,Defense,ORG-2941,$5 - <$25 million,Less than $250 thousand,Less than $250 thousand,1,10,9450809,10
2006,59:26.2,Defense,NULL,Zero value,NULL,$100 - <$500 million,3,5,0,NULL
2010,59:26.2,Defense,ORG-2834,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,2,5,20930664,5
2007,59:26.2,Defense,ORG-2872,Zero value,Zero value,Zero value,2840,3936,0,3944
2007,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,Zero value,Zero value,1637,5126,833310810.5,5129
2012,59:26.2,Defense,NULL,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,1,3,287419.36,3
2008,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,1,12,451300.53,12
2008,59:26.2,Defense,ORG-2825,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,9,9,920558.85,9
2013,59:26.2,Defense,ORG-2845,$1 - <$5 million,$1 - <$5 million,Deobligation,1,3,1115797.69,3
2010,59:26.2,Defense,ORG-2785,Zero value,NULL,$5 - <$25 million,6,6,0,NULL
2008,59:26.2,Defense,ORG-2882,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,2,3,13210231.99,3
2009,59:26.2,Defense,ORG-2937,Zero value,Zero value,Zero value,6633,9453,0,10357
2012,59:26.2,Defense,ORG-2835,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,7,20,1091538.4,20
2003,59:26.2,Defense,ORG-2945,Deobligation,Zero value,Zero value,61,77,-5358795,77
2014,59:26.2,Defense,ORG-2785,Zero value,NULL,Less than $250 thousand,26,29,0,NULL
2007,59:26.2,Defense,ORG-2941,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,4,5,222495,5
2003,59:26.2,Defense,ORG-2943,$25 - <$100 million,Zero value,Zero value,7,61,387266507,61
2013,59:26.2,Defense,ORG-2843,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,14,1213564.012,14
2007,59:26.2,Defense,ORG-2834,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,1,1,0,1
2009,59:26.2,Defense,ORG-2877,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,1,3,4705957.56,3
2013,59:26.2,Defense,ORG-2877,Zero value,Less than $250 thousand,Deobligation,1,3,0,3
2001,59:26.2,Defense,ORG-2945,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,2,790000,2
2010,59:26.2,Defense,ORG-2825,Deobligation,$1 - <$5 million,$1 - <$5 million,9,15,-2221645.92,17
2014,59:26.2,Defense,ORG-2836,$5 - <$25 million,Less than $250 thousand,Less than $250 thousand,1,4,7266915.5,4
2013,59:26.2,Defense,ORG-2882,Zero value,NULL,Less than $250 thousand,11,23,0,NULL
2008,59:26.2,Defense,ORG-2944,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,108,192,16637841.78,192
2010,59:26.2,Defense,ORG-2835,Zero value,NULL,$250 thousand - <$1 million,25,53,0,NULL
2010,59:26.2,Defense,ORG-2781,Zero value,Zero value,Zero value,5,9,0,9
2000,59:26.2,Defense,ORG-2834,Zero value,Zero value,Zero value,7,13,0,14
2012,59:26.2,Defense,ORG-2882,Zero value,NULL,$100 - <$500 million,1,2,0,NULL
2012,59:26.2,Defense,ORG-2942,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,2,17,349788480.9,33
2008,59:26.2,Defense,ORG-2871,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,16,45,47075348.43,45
2013,59:26.2,Defense,ORG-2944,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,1,2,721350,2
2009,59:26.2,Defense,ORG-2940,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,2,5,48070947,5
2014,59:26.2,Defense,ORG-2937,Zero value,Less than $250 thousand,Less than $250 thousand,456,507,0,530
2002,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,Zero value,Zero value,1969,4567,957913377,4727
2008,59:26.2,Defense,ORG-2839,Zero value,NULL,Less than $250 thousand,12,27,0,NULL
2014,59:26.2,Defense,ORG-2872,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,18,53,1019154.21,53
2007,59:26.2,Defense,ORG-2843,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,6,24,942549.42,24
2004,59:26.2,Defense,ORG-2942,$1 - <$5 million,Zero value,Zero value,32,82,79591591,92
2010,59:26.2,Defense,ORG-2872,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,113,202,70311798.43,204
2005,59:26.2,Defense,ORG-2945,$5 - <$25 million,$5 - <$25 million,Zero value,4,111,38634387,111
2009,59:26.2,Defense,ORG-2872,$25 - <$100 million,Greater than $500 million,Greater than $500 million,1,1,87134031.82,1
2012,59:26.2,Defense,ORG-2940,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,11,26,5297044.55,26
2007,59:26.2,Defense,ORG-2843,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,4,48,208773315.7,50
2009,59:26.2,Defense,ORG-2871,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,7,25,88367301.51,25
2007,59:26.2,Defense,ORG-2783,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,51402,51424,792177934,51500
2006,59:26.2,Defense,ORG-2945,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,2,13,4958083,13
2006,59:26.2,Defense,ORG-2786,Less than $250 thousand,Zero value,Zero value,74865,78693,1387784147,83327
2010,59:26.2,Defense,ORG-2837,Deobligation,Deobligation,Deobligation,313,367,-5177857.85,367
2008,59:26.2,Defense,ORG-2787,Deobligation,Deobligation,Deobligation,20,24,-67774.43,24
2001,59:26.2,Defense,ORG-2834,Zero value,Zero value,Zero value,5,7,0,8
2014,59:26.2,Defense,ORG-2942,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,1,3,1417266.125,3
2012,59:26.2,Defense,ORG-2877,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,4,65,162875121.7,65
2014,59:26.2,Defense,ORG-4383,Less than $250 thousand,$250 thousand - <$1 million,Deobligation,1,6,249416.7914,6
2011,59:26.2,Defense,NULL,Less than $250 thousand,$250 thousand - <$1 million,Deobligation,4,19,581552.95,19
2008,59:26.2,Defense,ORG-2882,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,38,73,91020131.63,83
2001,59:26.2,Defense,ORG-2854,$100 - <$500 million,Zero value,Zero value,1,25,179382209,25
2010,59:26.2,Defense,ORG-2825,$1 - <$5 million,$25 - <$100 million,Deobligation,1,26,4263389.07,26
2004,59:26.2,Defense,ORG-2844,Zero value,NULL,Zero value,93,93,0,NULL
2009,59:26.2,Defense,ORG-4955,$1 - <$5 million,Zero value,Zero value,1,1,2174731.8,1
2000,59:26.2,Defense,ORG-2825,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,1,2,92000,2
2008,59:26.2,Defense,ORG-2842,Zero value,NULL,$1 - <$5 million,13,21,0,NULL
2011,59:26.2,Defense,ORG-2940,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,2,40,246822101.6,40
2002,59:26.2,Defense,ORG-2844,$1 - <$5 million,Zero value,Zero value,8,17,19722770,17
2013,59:26.2,Defense,ORG-2871,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,60,216,135949879.8,216
2009,59:26.2,Defense,ORG-2835,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,3,23,4139012.52,23
2014,59:26.2,Defense,ORG-2880,Zero value,NULL,$5 - <$25 million,4,10,0,NULL
2010,59:26.2,Defense,ORG-2877,Deobligation,$100 - <$500 million,$100 - <$500 million,1,1,-4042517.93,1
2013,59:26.2,Defense,ORG-2781,Zero value,NULL,$25 - <$100 million,19,22,0,NULL
2006,59:26.2,Defense,ORG-2876,$5 - <$25 million,$5 - <$25 million,Zero value,2,16,27296209,16
2005,59:26.2,Defense,ORG-2836,Zero value,NULL,$250 thousand - <$1 million,2,3,0,NULL
2007,59:26.2,Defense,ORG-2941,$25 - <$100 million,$25 - <$100 million,$1 - <$5 million,1,10,25831607,10
2003,59:26.2,Defense,ORG-2880,$1 - <$5 million,Zero value,Zero value,43,103,90934303,104
2008,59:26.2,Defense,ORG-2842,Zero value,Zero value,Zero value,206,285,0,285
2007,59:26.2,Defense,ORG-2843,Zero value,NULL,Zero value,214,456,0,NULL
2008,59:26.2,Defense,ORG-2937,Deobligation,Deobligation,$1 - <$5 million,1,3,-4058,3
2006,59:26.2,Defense,ORG-2940,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,2,12,27908503,12
2010,59:26.2,Defense,ORG-2941,Deobligation,Zero value,Deobligation,1,1,-7200,1
2012,59:26.2,Defense,ORG-2825,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,3,9,168179852,15
2012,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,Deobligation,$250 thousand - <$1 million,1,7,745210,7
2000,59:26.2,Defense,ORG-2843,Zero value,Zero value,Zero value,3,3,0,3
2005,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,2,4,1220405,4
2014,59:26.2,Defense,ORG-2785,Zero value,NULL,$25 - <$100 million,26,32,0,NULL
2013,59:26.2,Defense,ORG-2945,$1 - <$5 million,$250 thousand - <$1 million,Zero value,4,26,4480830,26
2013,59:26.2,Defense,ORG-2936,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,13,68,26423636.63,68
2008,59:26.2,Defense,ORG-2871,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,42,185,462300182.9,185
2010,59:26.2,Defense,ORG-2787,Zero value,Zero value,Zero value,670,896,0,897
2010,59:26.2,Defense,ORG-2880,$100 - <$500 million,Greater than $500 million,Greater than $500 million,2,11,959819526.1,11
2003,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1,1,368401.44,1
2012,59:26.2,Defense,ORG-2941,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,4,37,14260670.33,64
2009,59:26.2,Defense,ORG-2943,Zero value,Zero value,Less than $250 thousand,4,9,0,9
2007,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,2,2,1703570.93,2
2013,59:26.2,Defense,ORG-2937,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,3,10,545759035.8,2626
2011,59:26.2,Defense,ORG-2882,Less than $250 thousand,Less than $250 thousand,Zero value,199,307,14047770.26,307
2013,59:26.2,Defense,NULL,Deobligation,$1 - <$5 million,Less than $250 thousand,1,4,-47412.06,4
2007,59:26.2,Defense,ORG-2872,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,1,2,156383,2
2013,59:26.2,Defense,ORG-2880,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,1,3,57383.2031,3
2013,59:26.2,Defense,ORG-2941,$25 - <$100 million,$100 - <$500 million,Zero value,1,16,27045178.84,28
2009,59:26.2,Defense,ORG-2937,Less than $250 thousand,Zero value,Less than $250 thousand,1,1,28181,1
2006,59:26.2,Defense,ORG-2872,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,33,63,1692428.46,63
2006,59:26.2,Defense,ORG-2876,Zero value,$5 - <$25 million,$5 - <$25 million,2,2,0,2
2010,59:26.2,Defense,ORG-2835,Zero value,Deobligation,Deobligation,1,2,0,2
2011,59:26.2,Defense,ORG-2882,$250 thousand - <$1 million,Deobligation,Deobligation,8,47,3603531.33,47
2014,59:26.2,Defense,ORG-2839,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,1,1,66540,1
2010,59:26.2,Defense,ORG-2836,$25 - <$100 million,Zero value,Zero value,1,52,48959713.66,52
2002,59:26.2,Defense,ORG-2940,Zero value,$1 - <$5 million,$1 - <$5 million,1,2,0,2
2011,59:26.2,Defense,NULL,Zero value,NULL,$250 thousand - <$1 million,72,162,0,NULL
2013,59:26.2,Defense,ORG-2841,Zero value,Zero value,Zero value,4,5,0,5
2013,59:26.2,Defense,ORG-2869,Zero value,NULL,$250 thousand - <$1 million,80,138,0,NULL
2009,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,88,419,41855461.13,420
2014,59:26.2,Defense,ORG-2880,$1 - <$5 million,Zero value,Zero value,4,6,10223369.72,6
2008,59:26.2,Defense,ORG-2941,$25 - <$100 million,$25 - <$100 million,$250 thousand - <$1 million,2,40,112270075.9,44
2013,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,Zero value,Zero value,12,28,6470735.177,28
2007,59:26.2,Defense,ORG-2882,Zero value,Zero value,Deobligation,2,4,0,4
2001,59:26.2,Defense,ORG-2825,Zero value,NULL,Zero value,515,515,0,NULL
2005,59:26.2,Defense,ORG-2876,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,4,5414525.96,4
2004,59:26.2,Defense,ORG-2869,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,536,602,9550466.14,602
2013,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,70,234,35885827.18,234
2011,59:26.2,Defense,ORG-2937,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,2,6,207160,6
2013,59:26.2,Defense,ORG-2785,Zero value,NULL,$5 - <$25 million,11,11,0,NULL
2007,59:26.2,Defense,ORG-2937,$1 - <$5 million,Zero value,$250 thousand - <$1 million,1,6,3180896.26,6
2007,59:26.2,Defense,ORG-2943,Zero value,$1 - <$5 million,$1 - <$5 million,3,3,0,3
2002,59:26.2,Defense,ORG-2937,$100 - <$500 million,Zero value,Zero value,1,6,118177881,6
2010,59:26.2,Defense,ORG-2880,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,1,3,352930.2,3
2011,59:26.2,Defense,ORG-2936,Zero value,NULL,$100 - <$500 million,11,32,0,NULL
2008,59:26.2,Defense,ORG-2944,Less than $250 thousand,$250 thousand - <$1 million,Zero value,1,2,200000,2
2011,59:26.2,Defense,ORG-2784,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,51,67,91145846.47,67
2013,59:26.2,Defense,ORG-2882,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,3,4,17200642.5,4
2010,59:26.2,Defense,ORG-2940,Less than $250 thousand,Zero value,Zero value,180,406,10657825.88,406
2002,59:26.2,Defense,ORG-2879,$5 - <$25 million,Zero value,Zero value,38,107,312492454,107
2014,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,3,806384,3
2011,59:26.2,Defense,ORG-2940,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,46,309,2231423821,309
2006,59:26.2,Defense,NULL,Less than $250 thousand,$250 thousand - <$1 million,Zero value,20,22,1711543.3,22
2007,59:26.2,Defense,ORG-2940,Deobligation,Zero value,Zero value,1023,1338,-70526682.15,1338
2013,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,$1 - <$5 million,Zero value,3,6,1755320.656,6
2008,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,3,7,1282319,7
2007,59:26.2,Defense,ORG-2940,Zero value,$250 thousand - <$1 million,$1 - <$5 million,7,9,0,9
2006,59:26.2,Defense,ORG-2834,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,1,14,35527287,14
2014,59:26.2,Defense,ORG-2940,Zero value,Less than $250 thousand,Less than $250 thousand,47,57,0,57
2009,59:26.2,Defense,ORG-2825,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,244,449,33453707.8,525
2007,59:26.2,Defense,ORG-2945,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,8,16,588585.31,16
2006,59:26.2,Defense,ORG-2940,$5 - <$25 million,Zero value,Zero value,78,432,816711408.1,432
2002,59:26.2,Defense,NULL,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,1,1,2191600,1
2009,59:26.2,Defense,ORG-2783,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,17,24,138166471.6,24
2012,59:26.2,Defense,ORG-2774,$5 - <$25 million,$5 - <$25 million,Deobligation,1,5,8426711.61,5
2005,59:26.2,Defense,ORG-2879,Deobligation,Zero value,Zero value,8,9,-2406478,9
2013,59:26.2,Defense,ORG-2880,$5 - <$25 million,$5 - <$25 million,Deobligation,5,26,52676986.39,26
2014,59:26.2,Defense,ORG-2844,Deobligation,Deobligation,Deobligation,391,460,-9474377.721,460
2010,59:26.2,Defense,ORG-2941,Zero value,Deobligation,Deobligation,34,36,0,36
2003,59:26.2,Defense,ORG-2940,Zero value,Zero value,Less than $250 thousand,22,22,0,22
2012,59:26.2,Defense,ORG-2943,Zero value,$1 - <$5 million,$1 - <$5 million,1,1,0,1
2012,59:26.2,Defense,ORG-2837,Zero value,NULL,Zero value,86,116,0,NULL
2014,59:26.2,Defense,ORG-2941,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,1,23,5264500.349,45
